Fighter_ID,Fighter_Name,Height,Reach,Stance,Weight_Class,Date_of_Birth,Country,Active_Status
638,Andre Soukhamthath,5'9'',70'',orthodox,bantamweight,"October 23, 1988",USA,No
639,Jose Quinonez,5'8'',69'',southpaw,bantamweight,"June 28, 1990",USA,No
640,Thomas Almeida,5'7'',70'',southpaw,bantamweight,"July 31, 1991",Brazil,No
641,Kris Moutinho,5'7'',68'',southpaw,bantamweight,"August 9, 1992",USA,Yes
642,Raulian Paiva,5'8'',69'',orthodox,bantamweight,"October 17, 1995",Brazil,No
643,Pedro Munhoz,5'6'',65'',orthodox,bantamweight,"September 7, 1986",Brazil,Yes
644,Aljamain Sterling,5'7'',71'',orthodox,featherweight,"July 31, 1989",USA,Yes
645,Song Yadong,5'8'',67'',orthodox,bantamweight,"December 2, 1997",China,Yes
646,Bharat Kandare,5'7'',72'',orthodox,bantamweight,"June 2, 1987",India,No
647,Felipe Arantes,5'8'',73'',orthodox,bantamweight,"February 9, 1988",Brazil,No
648,Vince Morales,5'7'',70'',orthodox,bantamweight,"November 12, 1990",USA,Yes
649,Alejandro Perez,5'6'',67'',orthodox,bantamweight,"September 2, 1989",USA,No
650,Kyler Phillips,5'8'',72'',orthodox,bantamweight,"June 12, 1995",USA,Yes
651,Julio Arce,5'7'',70'',southpaw,featherweight,"October 27, 1989",USA,No
652,Marlon Moraes,5'6'',67'',orthodox,bantamweight,"April 26, 1988",Brazil,No
653,Chris Gutierrez,5'9'',67'',orthodox,bantamweight,"April 22, 1991",USA,Yes
654,Henry Cejudo,5'4'',64'',orthodox,bantamweight,"February 9, 1987",USA,No
655,Kayla Harrison,5'8'',66'',southpaw,women's bantamweight,"July 2, 1990",USA,Yes
656,Ketlen Vieira,5'8'',68'',orthodox,women's bantamweight,"August 26, 1991",Brazil,Yes
657,Julianna Pena,5'6'',69'',orthodox,women's bantamweight,"August 19, 1989",USA,Yes
658,Amanda Nunes,5'8'',69'',orthodox,women's bantamweight,"May 30, 1988",Brazil,Yes
659,Julia Budd,5'7'',67'',N/A,women's featherweight,"July 4, 1983",USA,No
660,Sheila Gaff,5'5'',N/A,orthodox,women's bantamweight,"December 29, 1989",Germany,No
661,Germaine de Randamie,5'9'',71'',orthodox,women's bantamweight,"April 24, 1984",The Netherlands,No
662,Cat Zingano,5'6'',68'',southpaw,women's bantamweight,"July 1, 1982",USA,No
663,Sara McMann,5'6'',66'',orthodox,women's bantamweight,"September 24, 1980",USA,No
664,Shayna Baszler,5'7'',N/A,orthodox,women's bantamweight,"August 8, 1980",USA,No
665,Valentina Shevchenko,5'5'',66'',southpaw,women's flyweight,"March 7, 1988",Kyrgyztsan,Yes
666,Ronda Rousey,5'7'',66'',orthodox,women's bantamweight,"February 1, 1987",USA,No
667,Miesha Tate,5'6'',65'',orthodox,women's bantamweight,"August 18, 1986",USA,Yes
668,Rauqel Pennington,5'7'',67'',orthodox,women's bantamweight,"September 5, 1988",USA,Yes
669,Cristiane Justino,5'8'',68'',orthodox,women's featherweight,"June 9, 1985",Brazil,No
670,Felicia Spencer,5'6'',68'',orthodox,women's featherweight,"November 29, 1990",Canada,No
671,Megan Anderson,6'0'',72'',orthodox,women's featherweight,"February 11, 1990",Australia,No
672,Eddie Alvarez,5'9'',69'',orthodox,lightweight,"January 11, 1984",USA,No
673,James Vick,6'3'',76'',orthodox,lightweight,"February 23, 1987",USA,No
674,Charles Oliveira,5'10'',74'',orthodox,lightweight,"October 17, 1989",Brazil,Yes
675,Rafael Fiziev,5'8'',71'',switch,lightweight,"March 5, 1993",Azerbaijan,Yes
676,Paddy Pimblett,5'10'',73'',orthodox,lightweight,"January 3, 1995",England,Yes
677,Luigi Vendramini,5'8'',73'',orthodox,lightweight,"January 16, 1996",Brazil,No
678,Kazula Vargas,5'8'',71'',southpaw,lightweight,"August 15, 1985",Mexico,No
679,Jordan Levitt,5'9'',71'',southpaw,lightweight,"June 2, 1995",USA,Yes
680,Jared Gordon,5'9'',68'',orthodox,lightweight,"September 6, 1988",USA,Yes
681,King Green,5'10'',71'',orthodox,lightweight,"September 9, 1986",USA,Yes
682,Ty Miller,6'2'',77'',orthodox,welterweight,"June 4, 2000",USA,Yes
683,Jimmy Drago,5'10'',71'',orthodox,welterweight,"February 18, 1995",USA,No
684,Adam Fugitt,6'1'',77'',southpaw,welterweight,"January 12, 1989",USA,Yes
685,Michael Morales,6'0'',79'',orthodox,welterweight,"June 24, 1999",Ecuador,Yes
686,Yusaku Kinoshita,6'0'',71'',southpaw,welterweight,"August 21, 2000",Japan,No
687,Mike Malott,6'1'',73'',orthodox,welterweight,"November 7, 1991",Canada,Yes
688,Josh Quinlan,6'0'',72'',orthodox,welterweight,"February 6, 1993",USA,No
689,Islam Dulatov,6'3'',75'',orthodox,welterweight,"August 2, 1998",Germany,Yes
690,Clay Guida,5'7'',70'',orthodox,lightweight,"December 8, 1981",USA,No
