Fight_ID,Fighter_ID,Opponent_ID,Result,Duration,Significant_Strikes_Landed,Significant_Strikes_Attempted,Takedowns_Landed,Takedowns_Attempted,Knockdowns,Control_Time
119,545,547,W,106,29,52,0,0,1,0
119,545,547,L,106,8,27,0,0,0,0
120,545,539,L,900,50,205,0,0,0,0
120,539,545,W,900,53,183,0,1,0,0
121,545,548,W,80,20,35,0,2,1,1
121,548,545,L,80,6,15,0,0,0,0
122,545,549,L,383,37,79,0,1,0,5
122,549,545,W,383,33,60,2,6,0,103
123,545,550,L,570,48,94,2,6,0,248
123,550,545,W,570,87,151,2,4,0,80
124,545,551,W,900,108,234,0,1,0,23
124,551,545,L,900,67,185,0,1,0,40
125,545,313,L,900,75,156,0,1,0,35
125,313,545,W,900,110,244,1,1,1,7
126,545,552,L,900,32,87,0,0,1,142
126,552,545,W,900,42,85,3,7,0,378
127,545,553,W,900,63,191,0,12,0,5
127,553,545,L,900,79,204,0,2,0,40
128,545,554,W,298,17,38,0,0,1,2
128,554,545,L,298,20,82,0,2,0,5
129,545,545,W,526,30,75,0,0,1,12
129,542,542,L,526,23,98,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
131,564,565,W,519,25,41,5,11,0,177
131,565,564,L,519,7,30,0,0,0,8
132,564,234,W,195,18,26,1,5,0,87
132,234,564,L,195,1,19,0,0,0,6
133,564,566,W,900,74,100,3,4,0,649
133,566,565,L,900,2,20,0,0,0,0
134,564,205,W,280,36,51,0,0,1,2
134,205,564,L,280,13,24,0,0,0,0
135,564,80,W,900,68,98,5,5,0,686
135,80,564,L,900,3,16,0,0,1,34
136,564,567,W,1500,98,187,5,13,0,311
136,567,564,L,1500,71,159,0,2,0,12
137,564,568,L,1500,104,237,2,15,0,97
137,568,564,W,1500,111,259,7,30,0,142
138,564,232,W,900,32,54,11,14,0,646
138,232,564,L,900,20,54,0,1,1,4
139,486,569,W,600,17,26,2,3,1,286
139,569,486,L,600,16,40,0,0,0,114
140,486,570,W,900,19,48,1,4,0,66
140,570,486,L,900,30,52,7,11,0,448
141,486,571,W,574,31,62,2,2,1,363
141,571,486,L,574,9,32,0,1,0,0
142,486,572,W,488,29,39,2,4,2,294
142,572,486,L,488,14,26,0,2,0,0
143,486,485,L,900,14,50,0,2,0,11
143,485,486,W,900,26,51,3,5,0,400
144,486,487,W,900,67,113,2,3,1,111
144,487,486,L,900,68,160,2,10,0,74
145,486,573,W,188,8,13,0,1,0,0
145,573,486,L,188,26,38,1,3,0,4
146,486,482,W,414,25,49,1,1,1,26
146,482,486,L,414,46,94,0,2,0,10
147,486,482,W,288,35,40,0,0,2,143
147,482,486,L,288,18,28,0,0,0,0
149,486,574,D,1500,137,238,2,4,0,55
149,574,486,D,1500,132,248,4,8,0,199
150,486,574,L,746,24,36,1,1,0,90
150,574,486,W,746,47,85,2,2,1,289
151,486,574,W,1500,86,169,2,11,3,140
151,574,586,L,1500,105,259,1,2,0,46
152,486,574,L,900,19,43,1,2,0,35
152,574,486,W,900,48,74,3,6,0,412
153,486,575,W,900,45,74,4,7,0,242
153,575,486,L,900,46,94,0,2,0,22
154,486,576,W,542,13,19,1,5,0,223
154,576,486,L,542,16,31,0,0,0,2
155,486,577,W,900,45,90,0,0,1,150
155,577,486,L,900,52,117,0,0,0,8
156,486,578,L,1500,53,119,2,8,0,180
156,578,486,W,1500,121,193,1,4,0,201
157,486,567,L,548,6,9,2,5,0,31
157,567,486,W,548,54,87,2,2,0,307
158,486,579,W,900,23,43,2,5,0,138
158,579,586,L,900,30,70,1,1,0,2
159,564,486,W,900,34,72,2,6,0,290
159,486,564,L,900,8,27,0,0,0,9
160,585,586,L,686,28,72,1,3,0,23
160,586,585,W,686,42,90,5,7,0,303
161,585,587,W,167,13,33,1,1,0,72
161,587,585,L,167,12,22,0,0,0,11
162,585,588,W,1345,57,100,8,10,0,1000
162,588,585,L,1345,10,50,0,2,0,26
163,585,589,W,900,46,156,2,4,0,79
163,589,585,L,900,61,121,0,1,0,45
164,585,590,L,900,70,145,2,6,0,145
164,590,585,W,900,84,242,0,0,0,139
165,585,591,W,467,47,72,1,1,1,275
165,591,585,L,467,22,33,1,1,0,50
166,585,133,W,183,15,34,0,0,1,27
166,133,585,L,183,5,42,0,0,0,0
167,585,133,W,1500,105,301,1,2,0,56
167,133,585,L,1500,145,356,0,0,0,0
168,585,125,L,478,55,125,0,2,1,29
168,125,585,W,478,47,105,2,4,0,38
169,585,125,W,900,82,235,0,1,0,0
169,125,585,L,900,71,205,1,3,0,29
170,585,592,W,78,5,10,0,0,1,3
170,592,585,L,78,7,11,0,0,0,0
171,585,592,W,1500,86,168,2,2,0,420
171,592,585,L,1500,83,173,5,11,0,217
172,585,586,L,1500,37,136,1,1,0,10
172,586,585,W,1500,30,133,2,11,0,22
173,585,593,L,900,60,150,0,6,0,25
173,593,585,W,900,58,225,0,1,0,24
174,585,594,W,1500,93,188,1,3,0,419
174,594,585,L,1500,83,270,4,8,0,98
175,585,595,W,1500,96,180,5,5,1,396
175,585,595,L,1500,58,198,2,5,0,58
176,585,264,L,1500,94,245,1,4,0,15
176,264,585,W,1500,110,281,2,8,0,534
177,585,596,W,900,25,86,2,4,0,393
177,596,585,L,900,25,74,0,2,0,108
178,580,581,W,900,96,185,2,3,0,67
178,581,580,L,900,31,101,0,6,0,207
179,580,279,W,687,45,72,0,3,1,133
179,279,580,L,687,18,47,1,7,0,296
180,580,582,W,178,20,45,0,0,1,16
180,582,580,L,178,7,18,0,1,0,0
181,580,49,W,900,70,174,0,0,0,0
181,49,580,L,900,43,125,0,0,0,0
182,580,583,W,900,38,128,0,1,0,0
182,583,580,L,900,26,67,1,9,0,361
183,580,125,W,900,117,208,0,1,0,49
183,125,580,L,900,50,140,0,1,0,131
184,580,584,W,900,65,164,0,0,0,15
184,584,580,L,900,45,139,0,2,0,40
185,580,585,W,900,51,133,1,2,0,84
185,585,580,L,900,26,94,1,5,0,129
186,68,69,W,701,23,75,1,4,0,132
186,69,68,L,701,35,66,2,4,0,206
187,68,70,W,900,31,101,4,4,1,252
187,70,68,L,900,25,61,0,8,0,122
188,68,71,W,900,32,74,3,6,0,335
188,71,68,L,900,17,46,4,12,0,335
189,68,72,W,761,29,90,0,0,0,9
189,72,68,L,761,20,56,6,12,0,467
190,68,73,W,900,37,111,0,0,1,59
190,73,68,L,900,30,104,0,3,0,0
191,68,74,W,900,102,190,1,2,0,54
191,74,68,L,900,23,113,0,2,0,0
192,68,75,W,900,63,191,0,1,0,81
192,75,68,L,900,49,172,0,9,0,77
193,68,597,W,900,21,61,2,5,1,309
193,597,68,L,900,47,113,0,1,0,153
194,68,598,W,153,49,84,0,0,0,2
194,598,68,L,153,14,49,0,0,0,0
195,68,599,W,308,28,67,0,0,0,0
195,599,68,L,308,14,58,0,0,0,0
196,68,600,L,1500,76,225,0,0,0,42
196,600,68,W,1500,147,262,0,0,0,3
197,68,601,L,900,59,140,0,0,0,3
197,601,68,W,900,51,118,5,17,0,211
198,68,454,W,900,61,122,0,1,0,0
198,454,68,L,900,38,111,0,0,0,0
199,602,603,W,900,87,178,1,3,0,9
199,603,602,L,900,71,159,0,1,0,11
200,602,315,W,252,25,36,1,1,1,8
200,315,602,L,252,11,36,0,3,0,4
201,602,604,W,382,34,55,0,0,2,9
201,604,602,L,382,23,46,3,7,0,77
202,602,546,W,688,53,109,0,0,0,0
202,546,602,L,688,59,147,0,4,0,30
203,602,165,W,255,18,27,0,0,1,6
203,165,602,L,255,7,25,0,0,0,0
204,602,605,W,532,27,63,0,0,1,19
204,605,602,L,532,36,64,1,14,0,103
205,602,606,L,588,43,91,0,0,0,3
205,606,602,W,588,74,135,3,4,1,160
206,602,68,W,900,74,136,4,6,0,32
206,68,602,L,900,56,116,0,0,0,54
207,617,618,W,263,22,27,1,1,0,108
207,618,617,L,263,5,6,1,3,0,111
208,617,619,W,210,6,16,1,2,0,93
208,619,617,L,210,6,8,0,0,0,0
209,617,620,L,41,1,1,0,0,0,0
209,620,617,W,41,7,11,0,0,0,7
210,617,621,W,498,53,82,0,2,0,248
210,621,617,L,498,7,13,1,3,0,100
211,617,410,L,348,6,23,0,0,0,56
211,410,617,W,348,23,37,3,4,1,209
212,617,622,W,675,41,63,0,3,0,89
212,622,617,L,675,8,13,5,13,0,431
